mpn,manufacturer,price_jpy,stock,vout1,vout2,vin_min,vin_max,iout_min_a,iout_raw,watt,isolation,efficiency,features,package,datasheet,url
VRA1212YMD-6WR3,"Mornsun America, LLC",1068.0,22,12V,-12V,9.0,18.0,0.25,250mA、250mA,6 W,1.5 kV,85%,-,-,https://www.mornsun-power.com/html/pdf/VRA1205YMD-6WR3.html,https://www.digikey.com/ja/products/detail/mornsun-america-llc/VRA1212YMD-6WR3/21284964
URA2412YMD-6WR3,"Mornsun America, LLC",1104.21053,5,12V,-12V,9.0,36.0,0.25,250mA、250mA,6 W,1.5 kV,87%,-,-,https://www.mornsun-power.com/html/pdf/URA2412YMD-6WR3.html,https://www.digikey.com/ja/products/detail/mornsun-america-llc/URA2412YMD-6WR3/13168151
URA2415YMD-10WR3,"Mornsun America, LLC",1227.21053,254,15V,-15V,9.0,36.0,0.333,333mA、333mA,10 W,1.5 kV,87%,-,-,https://www.mornsun-power.com/html/pdf/URA2415YMD-10WR3.html,https://www.digikey.com/ja/products/detail/mornsun-america-llc/URA2415YMD-10WR3/13168177
AM10GH-2415DLPZ,aimtec,1394.0,345,-15V,15V,9.0,36.0,0.333,333mA、333mA,10 W,1.5 kV,86%,OVP、SCP,8-SIP,https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10GH-LPZ.pdf,https://www.digikey.com/ja/products/detail/dcomponents/AM10GH-2415DLPZ/27523818
DCWN06A-12,MEAN WELL USA Inc.,1414.0,104,12V,-12V,9.0,18.0,0.25,250mA、250mA,6 W,3 kV,83%,OCP、SCP、UVLO,-,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/760/SCWN06%2CDCWN06_Series_Ds.pdf,https://www.digikey.com/ja/products/detail/mean-well-usa-inc/DCWN06A-12/8702747
REC6K-2412DRW,Recom Power,1417.0,14,12V,-12V,9.0,36.0,0.25,250mA、250mA,6 W,4 kV,84%,-,-,https://recom-power.com/pdf/Econoline/REC6K-RW.pdf,https://www.digikey.com/ja/products/detail/recom-power/REC6K-2412DRW/29446929
DPBW06F-12,MEAN WELL USA Inc.,1497.0,1112,12V,-12V,9.0,36.0,0.25,250mA、250mA,6 W,1.5 kV,0.88,リモートオン/オフ、OCP、SCP,-,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2289/SPBW06%2CDPBW06_Ds.pdf,https://www.digikey.com/ja/products/detail/mean-well-usa-inc/DPBW06F-12/7702848
WRFD12D15-20WH2,HenLv Power,1540.0,20000,15V,-15V,9.0,18.0,0.667,667mA,20 W,1500 V,84%,-,,https://oss.henlv.net/uploads/20250908/7b3b4d0d002012357fa208876b299251.pdf,https://www.digikey.com/ja/products/detail/henlv-power/WRFD12D15-20WH2/26851596
WRFD12D12-20WH2,HenLv Power,1540.0,20000,12V,-12V,9.0,18.0,0.834,834mA,20 W,1500 V,83%,-,,https://oss.henlv.net/uploads/20250908/7b3b4d0d002012357fa208876b299251.pdf,https://www.digikey.com/ja/products/detail/henlv-power/WRFD12D12-20WH2/26852263
AM10TW-2415DLPZ,aimtec,1581.0,240,-15V,15V,9.0,36.0,0.33,330mA、330mA,10 W,1.5 kV,87%,リモートオン/オフ、OCP、OTP、SCP、UVLO,24-DIP,https://aimtec.com/site/Aimtec/files/Datasheet/HighResolution/AM10TW-LPZ.pdf,https://www.digikey.com/ja/products/detail/dcomponents/AM10TW-2415DLPZ/27523559
